macula_greek_id	clear_engine_id
n40003007003	40003007003
n40003007004	40003007004
n40003007005	40003007005
n40003007006	40003007006
n40003007007	40003007007
n40003007008	40003007008
n40003007009	40003007009
n40003007010	40003007010
n40003007011	40003007011
n40003007012	40003007013
	40003007012
n40003007013	40003007014
n40003007014	40003007015
n40003007015	40003007016
n40003007016	40003007017
n40003007017	40003007018
n40003007018	40003007019
n40003007019	40003007020
n40003007020	40003007021
n40003007021	40003007022
n40003007022	40003007023
n40003007023	40003007024
n40003008001	40003008001
n40003008002	40003008002
n40003008003	40003008003
n40003008004	40003008004
n40003008005	40003008005
n40003008006	40003008006
n40003009001	40003009001
n40003009002	40003009002
n40003009003	40003009003
n40003009004	40003009004
n40003009005	40003009005
n40003009006	40003009006
n40003009007	40003009007
n40003009008	40003009008
n40003009009	40003009009
n40003009010	40003009010
n40003009011	40003009011
n40003009012	40003009012
n40003009013	40003009013
n40003009014	40003009014
n40003009015	40003009015
n40003009016	40003009016
n40003009017	40003009017
n40003009018	40003009018
n40003009019	40003009019
n40003009020	40003009020
n40003009021	40003009021
n40003009022	40003009022
n40003009023	40003009023
n40003009024	40003009024
n40003009025	40003009025
n40003010001	40003010001
n40003010002	40003010002
n40003010003	40003010003
n40003010004	40003010004
n40003010005	40003010005
n40003010006	40003010006
n40003010007	40003010007
n40003010008	40003010008
n40003010009	40003010009
n40003010010	40003010010
n40003010011	40003010011
n40003010012	40003010012
n40003010013	40003010013
n40003010014	40003010014
n40003010015	40003010015
n40003010016	40003010016
n40003010017	40003010017
n40003010018	40003010018
n40003010019	40003010019
n40003010020	40003010020
n40003010021	40003010021
n40003010022	40003010022
n40003011001	40003011001
n40003011002	40003011002
n40003011003	40003011003
n40003011004	40003011004
n40003011005	40003011005
n40003011006	40003011006
n40003011007	40003011007
n40003011008	40003011008
n40003011009	40003011009
n40003011010	40003011010
n40003011011	40003011011
n40003011012	40003011012
n40003011013	40003011013
n40003011014	40003011014
n40003011015	40003011015
n40003011016	40003011016
n40003011017	40003011017
n40003011018	40003011018
n40003011019	40003011019
n40003011020	40003011020
n40003011021	40003011021
n40003011022	40003011022
n40003011023	40003011023
n40003011024	40003011024
n40003011025	40003011025
n40003011026	40003011026
n40003011027	40003011027
n40003011028	40003011028
n40003011029	40003011029
n40003011030	40003011030
n40003011031	40003011031
n40003012001	40003012001
n40003012002	40003012002
n40003012003	40003012003
n40003012004	40003012004
n40003012005	40003012005
n40003012006	40003012006
n40003012007	40003012007
n40003012008	40003012008
n40003012009	40003012009
n40003012010	40003012010
n40003012011	40003012011
n40003012012	40003012012
n40003012013	40003012013
n40003012014	40003012014
n40003012015	40003012015
n40003012016	40003012016
n40003012017	40003012017
n40003012018	40003012018
n40003012019	40003012019
n40003012020	40003012020
n40003012021	40003012021
n40003012022	40003012022
n40003012023	40003012023
n40003012024	40003012024
n40003012025	40003012025
n40003012026	40003012026
n40003013001	40003013001
n40003013002	40003013002
n40003013003	40003013003
n40003013004	40003013004
n40003013005	40003013005
n40003013006	40003013006
n40003013007	40003013007
n40003013008	40003013008
n40003013009	40003013009
n40003013010	40003013010
n40003013011	40003013011
n40003013012	40003013012
n40003013013	40003013013
n40003013014	40003013014
n40003013015	40003013015
n40003013016	40003013016
n40003013017	40003013017
n40003014001	40003014001
n40003014002	40003014002
n40003014003	40003014004
