StrongNumber,Lemma,SenseNumber,English,Chinese,Instances,Category,BDAG agreement,LN agreement,Definition,Explanations
"4082","πήρα",1,"bag",,"400100100020010 410060080160010 420090030130010 420220360120010 420220350100010 420100040050010",1,0,0,,
"3700","ὁράω",3,"look",,"430190370060010",2,0,0,,
"3700","ὁράω",2,"appear",,"440070350250010 440090170240010 420090310020010 460150050030010 660120030020010 460150070020010 460150080070010 440130310020010 660110190120010 660120010040010 460150060020010 440070300050010 580090280160010 440020030020010 420240340080010 410090040020010 440160090080010 440260160120010 420220430010010 420010110010010 400170030030010 440070020130010 440070260050010 440260160250010",2,0,0,,
"3700","ὁράω",1,"see",,"400240300210010 440020170320010 410140620080010 620030020190010 420130280110010 660220040020010 430010500180010 400050080100010 430160170240010 450150210090010 420210270030010 410130260030010 580120140110010 660010070070010 430030360150010 400280100200010 420030060020010 430160190270010 410160070180010 400280070220010 430160220100010 430160160100010 430010510080010 540030160160010 440200250080010 430110400110010 400260640120010 400270240280010 440180150140010",2,0,0,,
"2730","κατοικίζω",1,"dwell",,"590040050140010",2,0,0,,
"3907","παρατήρησις",1,"observable",,"420170200230010",1,0,0,,
"4871","συναλίζω",1,"eat together",,"440010040020010",2,0,0,,
"1120","γονυπετέω",2,"kneel down",,"410100170090010 400270290180010",2,0,0,,
"1120","γονυπετέω",1,"kneel down",,"410010400090010 400170140090010",2,0,0,,
"0681","ἅπτω",2,"touch",,"400170070060010",2,0,0,,
"0681","ἅπτω",1,"light",,"420150080120010 420110330030010 420080160040010 440280020100010",2,0,0,,
"4552","σάπφιρος",1,"sapphire",,"660210190180010",1,0,0,,
"1907","ἐπέχω",5,"hold fast",,"500020160030010",2,0,0,,
"1907","ἐπέχω",4,"stay",,"440190220140010",2,0,0,,
"1907","ἐπέχω",3,"notice",,"420140070070010",2,0,0,,
"1907","ἐπέχω",2,"pay attention",,"440030050030010",2,0,0,,
"1907","ἐπέχω",1,"pay close attention to",,"540040160010010",2,0,0,,
"5056","τέλος",4,"finally",,"600030080030010",1,0,0,,
"5056","τέλος",3,"custom",,"400170250240010 450130070140010 450130070120010",1,0,0,,
"5056","τέλος",2,"outcome",,"600010090030010 400260580220010 590050110110010 600040170200010",1,0,0,,
"5056","τέλος",1,"end",,"580030140120010 430130010320010 460010080060010 420010330160010 420210090180010 500030190030010 410130130140010 400100220140010 460150240030010 660210060160010 580070030090010 660020260080010 460100110140010 600040070040010 660220130160010 450100040010010 400240060180010 410130070150010 400240140210010 400240130050010 580060110150010 470010130170010 470030130200010 580060080120010 470110150150010 450060210120010 450060220190010 410030260140010 540010050030010 420180050150010 520020160220010 420220370220010",1,0,0,,
"1938","ἐπιθυμητής",1,"desire after",,"460100060110010",1,0,0,,
"5268","ὑποζύγιον",1,"donkey",,"400210050200010 610020160060010",1,0,0,,
"3736","ὀρύσσω",1,"dig",,"410120010140010 400250180070010 400210330150010",2,0,0,,
"4448","πυρόω",5,"intense concern",,"470110290110010",2,0,0,,
"4448","πυρόω",4,"flame",,"490060160170010",2,0,0,,
"4448","πυρόω",3,"have be make to glow",,"660010150100010",2,0,0,,
"4448","πυρόω",2,"refine",,"660030180070010",2,0,0,,
"4448","πυρόω",1,"burn",,"460070090110010 610030120130010",2,0,0,,
"5052","τελεσφορέω",1,"bring fruit to maturity",,"420080140240010",2,0,0,,
"5098","τιμωρία",1,"punishment",,"580100290050010",1,0,0,,
"2993","Λαοδίκεια",1,"laodicea",,"510040160190010",1,0,0,,
"4578","σεισμός",2,"storm",,"400080240030010",1,0,0,,
"4578","σεισμός",1,"earthquake",,"440160260030010 400280020030010 410130080110010 420210110010010 660060120100010 660160180090010 400240070140010 400270540130010 660110130070010 660080050280010 660110130190010 660110190300010 660160180230010",1,0,0,,
"2795","κινέω",5,"stir up",,"440210300010010",2,0,0,,
"2795","κινέω",4,"remove",,"660020050180010",2,0,0,,
"2795","κινέω",3,"stir up",,"440240050080010",2,0,0,,
"2795","κινέω",2,"shake",,"410150290060010 400270390060010",2,0,0,,
"2795","κινέω",1,"move",,"440170280060010 660060140170010 400230040210010",2,0,0,,
"2339","θήρα",1,"trap",,"450110090120010",1,0,0,,
"3358","μέτρον",2,"measurement",,"660210170100010",1,0,0,,
"3358","μέτρον",1,"measure",,"410040240090010 490040070100010 400070020100010 400230320050010 660210150070010 420060380170010 420060380050010 470100130110010 430030340140010 450120030300010 490040130210010 470100130190010 490040160170010",1,0,0,,
"0431","ἀνεψιός",1,"cousin",,"510040100100010",1,0,0,,
"2637","κατάλαλος",1,"slanderer",,"450010300010010",3,0,0,,
"4246","πρεσβύτης",2,"elderly man",,"570010090100010",1,0,0,,
"4246","πρεσβύτης",1,"old man",,"420010180140010 560020020010010",1,0,0,,
"1172","δειπνέω",3,"supper",,"460110250070010",2,0,0,,
"1172","δειπνέω",2,"dine",,"660030200230010",2,0,0,,
"1172","δειπνέω",1,"eat",,"420220200070010 420170080070010",2,0,0,,
"1313","διάφορος",3,"differ",,"450120060100010",3,0,0,,
"1313","διάφορος",2,"various",,"580090100070010",3,0,0,,
"1313","διάφορος",1,"excellent",,"580080060030010 580010040070010",3,0,0,,
"4788","συγκλείω",2,"enclose",,"420050060040010",2,0,0,,
"4788","συγκλείω",1,"shut up",,"480030230100010 480030220020010 450110320010010",2,0,0,,
"4249","πρίζω",1,"sawn in two",,"580110370020010",2,0,0,,
"3397","μικρός",1,"a little while",,"400260390030010 410140350030010 430160190180010 430160190250010 430160160010010 410140700070010 430140190020010 430160180090010 430160170220010 430160170150010 430160160080010 400260730020010 430130330030010",3,0,0,,
"4121","πλεονάζω",5,"have much too",,"470080150070010",2,0,0,,
"4121","πλεονάζω",4,"to increase",,"520030120050010",2,0,0,,
"4121","πλεονάζω",3,"extend",,"470040150090010",2,0,0,,
"4121","πλεονάζω",2,"increase",,"500040170110010 610010080060010 530010030180010",2,0,0,,
"4121","πλεονάζω",1,"increase",,"450050200100010 450060010100010 450050200050010",2,0,0,,
"5202","ὑδροποτέω",1,"drink water",,"540050230020010",2,0,0,,
"2499","Ἰησοῦς",1,"joshua",,"420030290020010",1,0,0,,
"1728","ἐνάρχομαι",1,"begin",,"500010060060010 480030030040010",2,0,0,,
"0298","ἀμώμητος",1,"blameless",,"610030140080010",3,0,0,,
"1647","ἐλάχιστος",1,"little than the little",,"490030080030010",3,0,0,,
"2549","κακία",3,"wickedness",,"590010210070010 440080220050010",1,0,0,,
"2549","κακία",2,"evil",,"400060340160010 600020160090010 450010290060010",1,0,0,,
"2549","κακία",1,"malice",,"560030030150010 600020010040010 510030080100010 460050080100010 490040310160010 460140200090010",1,0,0,,
"2704","καταφθείρω",1,"deprave",,"550030080160010",2,0,0,,
"2301","θεατρίζω",1,"public spectacle",,"580100330070010",2,0,0,,
"4556","σάρδιον",1,"carnelian",,"660210200060010",1,0,0,,
"4909","συνευδοκέω",5,"approve",,"420110480050010",2,0,0,,
"4909","συνευδοκέω",4,"in hearty agreement with",,"440080010040010",2,0,0,,
"4909","συνευδοκέω",3,"approving",,"440220200150010",2,0,0,,
"4909","συνευδοκέω",2,"approve",,"450010320210010",2,0,0,,
"4909","συνευδοκέω",1,"will",,"460070130100010 460070120170010",2,0,0,,
"4548","σανίς",1,"plank",,"440270440070010",1,0,0,,
"0000","ἄμωμον",1,"spice",,"660180130040010",1,0,0,,
"1904","ἐπέρχομαι",3,"attack",,"420110220050010",2,0,0,,
"1904","ἐπέρχομαι",2,"come upon",,"590050010120010 420210260080010 440130400040010",2,0,0,,
"1904","ἐπέρχομαι",1,"come",,"490020070070010 420010350090010 440140190010010 440080240150010 440010080040010",2,0,0,,
"4369","προστίθημι",4,"lay",,"440130360130010",2,0,0,,
"4369","προστίθημι",3,"go on",,"420190110050010",2,0,0,,
"4369","προστίθημι",2,"proceed",,"420200110020010 420200120020010 440120030080010",2,0,0,,
"4369","προστίθημι",1,"add",,"400060270070010 480030190080010 420030200010010 440020410100010 420120250110010 440050140030010 440020470140010 440110240120010 420120310080010 400060330150010 410040240140010 420170050070010 580120190120010",2,0,0,,
"1718","ἐμφανίζω",6,"notify",,"440230150040010",2,0,0,,
"1718","ἐμφανίζω",5,"report",,"440230220130010",2,0,0,,
"1718","ἐμφανίζω",4,"make clear",,"580110140050010",2,0,0,,
"1718","ἐμφανίζω",3,"appear",,"400270530160010 580090240170010",2,0,0,,
"1718","ἐμφανίζω",2,"reveal",,"430140210270010 430140220140010",2,0,0,,
"1718","ἐμφανίζω",1,"present",,"440250020010010 440240010170010 440250150070010",2,0,0,,
"5590","ψυχή",4,"person",,"450130010020010",1,0,0,,
"5590","ψυχή",3,"live",,"440150260040010 620030160210010 440270100210010 660180130300010 520020080170010 420210190070010",1,0,0,,
"5590","ψυχή",2,"life",,"620030160110010 420060090160010 430150130090010 430130380040010 400060250230010 430120250120010 410030040110010 420170330050010 410080350160010 420140260310010 440200100140010 400100390120010 410080350060010 420090240060010 430100110120010 450160040040010 430130370140010 400060250080010 440200240060010 400200280140010 400100390040010 430100150120010 450110030160010 420120220140010 430120250040010 500020300110010 420090240160010 400020200200010 430100170110010 410100450150010 410080370070010 410080360120010 660080090130010 440270220090010 400160250060010 400160250160010 420120230030010",1,0,0,,
