macula_greek_word_id	sense_number
n42022055001	1
n66021019018	1
n50002016003	5
n44019022014	4
n42014007007	3
n44003005003	2
n54004016001	1
n60003008003	4
n40017025024	3
n45013007014	3
n45013007012	3
n60001009003	2
n40026058022	2
n59005011011	2
n60004017020	2
n58003014012	1
n43013001032	1
n46001008006	1
n42001033016	1
n42021009018	1
n50003019003	1
n41013013014	1
n40010022014	1
n46015024003	1
n66021006016	1
n58007003009	1
n66002026008	1
n46010011014	1
n60004007004	1
n66022013016	1
n45010004001	1
n40024006018	1
n41013007015	1
n40024014021	1
n40024013005	1
n58006011015	1
n47001013017	1
n47003013020	1
n58006008012	1
n47011015015	1
n45006021012	1
n45006022019	1
n41003026014	1
n54001005003	1
n42018005015	1
n52002016022	1
n42022037022	1
n46010006011	1
n40021005020	1
n61002016006	1
n41012001014	1
n40025018007	1
n40021033015	1
n47011029011	5
n49006016017	4
n66001015010	3
n66003018007	2
n46007009011	1
n61003012013	1
n42008014024	1
n58010029005	1
n51004016019	1
n40008024003	2
n44016026003	1
n40028002003	1
n41013008011	1
n42021011001	1
n66006012010	1
n66016018009	1
n40024007014	1
n40027054013	1
n66011013007	1
n66008005028	1
n66011013019	1
n66011019030	1
n66016018023	1
n44021030001	5
n66002005018	4
n44024005008	3
n41015029006	2
n40027039006	2
n44017028006	1
n66006014017	1
n40023004021	1
n45011009012	1
n66021017010	2
n41004024009	1
n49004007010	1
n40007002010	1
n40023032005	1
n66021015007	1
n42006038017	1
n42006038005	1
n47010013011	1
n43003034014	1
n45012003030	1
n49004013021	1
n47010013019	1
n49004016017	1
n51004010010	1
n45001030001	1
n57001009010	2
n42001018014	1
n56002002001	1
n46011025007	3
n66003020023	2
n42022020007	1
n42017008007	1
n45012006010	3
n58009010007	2
n58008006003	1
n58001004007	1
n42005006004	2
n48003023010	1
n48003022002	1
n45011032001	1
n58011037002	1
n40026039003	1
n41014035003	1
n43016019018	1
n43016019025	1
n43016016001	1
n41014070007	1
n43014019002	1
n43016018009	1
n43016017022	1
n43016017015	1
n43016016008	1
n40026073002	1
n43013033003	1
n47008015007	5
n52003012005	4
n47004015009	3
n50004017011	2
n61001008006	2
n53001003018	2
n45005020010	1
n45006001010	1
n45005020005	1
n54005023002	1
n42003029002	1
n50001006006	1
n48003003004	1
n61003014008	1
n49003008003	1
n59001021007	3
n44008022005	3
n40006034016	2
n60002016009	2
n45001029006	2
n56003003015	1
n60002001004	1
n51003008010	1
n46005008010	1
n49004031016	1
n46014020009	1
n55003008016	1
n58010033007	1
n66021020006	1
n42011048005	5
n44008001004	4
n44022020015	3
n45001032021	2
n46007013010	1
n46007012017	1
n44027044007	1
n66018013004	1
n42003033006	1
n46016022010	1
n66009016008	1
n44017022009	1
n44017019007	1
n42003033004	1
n42011022005	3
n59005001012	2
n42021026008	2
n44013040004	2
n49002007007	1
n42001035009	1
n44014019001	1
n44008024015	1
n44001008004	1
n42021035003	1
n44013036013	4
n42019011005	3
n42020011002	2
n42020012002	2
n44012003008	2
n40006027007	1
n48003019008	1
n42003020001	1
n44002041010	1
n42012025011	1
n44005014003	1
n44002047014	1
n44011024012	1
n42012031008	1
n40006033015	1
n41004024014	1
n42017005007	1
n58012019012	1
n44023015004	6
n44023022013	5
n58011014005	4
n40027053016	3
n58009024017	3
n43014021027	2
n43014022014	2
n44025002001	1
n44024001017	1
n44025015007	1
n45013001002	4
n44015026004	3
n62003016021	3
n44027010021	3
n66018013030	3
n52002008017	3
n42021019007	3
n62003016011	2
n42006009016	2
n43015013009	2
n43013038004	2
n40006025023	2
n43012025012	2
n41003004011	2
n42017033005	2
n41008035016	2
n42014026031	2
n44020010014	2
n40010039012	2
n41008035006	2
n42009024006	2
n43010011012	2
n45016004004	2
n43013037014	2
n40006025008	2
n44020024006	2
n40020028014	2
n40010039004	2
n43010015012	2
n45011003016	2
n42012022014	2
n43012025004	2
n50002030011	2
n42009024016	2
n40002020020	2
n43010017011	2
n41010045015	2
n41008037007	2
n41008036012	2
